record_id,hospitalid,reporting_month,phase,stakeholders_qi_team___1,stakeholders_qi_team___2,stakeholders_qi_team___3,stakeholders_qi_team___4,stakeholders_qi_team___5,stakeholders_qi_team___6,stakeholders_qi_team___7,stakeholders_qi_team___8,stakeholders_qi_team___9,stakeholders_qi_team___10,stakeholders_qi_team___11,other_stakeholder,inpatient_iuds,iud_specify___1,iud_specify___2,iud_specify___3,iud_specify___4,iud_specify___5,iud_specify___6,other_iud,inpatient_implant,larc_availability,larc_device,postpartum_iud_protocols,depts_iud_protocol___1,depts_iud_protocol___2,depts_iud_protocol___3,depts_iud_protocol___4,depts_iud_protocol___5,depts_iud_protocol___6,other_dept_iud,postpartum_implant_prot,depts_implant_protocol___1,depts_implant_protocol___2,depts_implant_protocol___3,depts_implant_protocol___4,depts_implant_protocol___5,depts_implant_protocol___6,other_dept_implant,larc_340b,iud_billingcodes,implant_billingcodes,billing_payer___1,billing_payer___2,billing_payer___3,private_insurer___1,private_insurer___2,private_insurer___3,private_insurer___4,private_insurer___5,private_insurer___6,private_insurer___7,private_insurer___8,private_insurer___9,other_privateinsur,billed_devicesplaced,reimbursement___1,reimbursement___2,reimbursement___3,reimbursement___4,reimbursement___5,reimbursement___6,specific_mco,specific_privatepayer,device_iud_tracking,device_tracking_where___1,device_tracking_where___2,device_tracking_where___3,device_tracking_where___4,device_tracking_where___5,other_tracking,iud_revisions___1,iud_revisions___2,iud_revisions___3,iud_revisions___4,iud_revisions___5,iud_revisions___6,iud_revisions___7,other_iud_revisions,device_implant_tracking,device_tracking_where2___1,device_tracking_where2___2,device_tracking_where2___3,device_tracking_where2___4,device_tracking_where2___5,other_tracking2,implant_revisions___1,implant_revisions___2,implant_revisions___3,implant_revisions___4,implant_revisions___5,implant_revisions___6,implant_revisions___7,other_implant_revision,number_sites,education,number_site_education,standard_education,communication_plan,comm_strategy,percent_trained_iplarc,percent_iplarc_iudplace,percent_iplarc_implant,nurse_training,lactationconsult_training,socialworkers_training,deliveries,active_larc,active_larc_yes,iuds,implants,number_prenatal,number_prenatal_no,number_prenatal_record,number_deliveryadmiss,sustainability,iplarc_complete
1368-1,34,3,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,,1,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,90,90,90,90,0,0,284,0,,,,,,,,,2
1368-2,34,4,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,90,20,20,90,0,0,276,0,,,,,,,,,2
1368-3,34,5,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,90,20,20,90,0,0,263,0,,,,,,,,,2
1368-4,34,1,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,90,0,0,90,0,0,241,0,,,,,,,,,2
1368-5,34,2,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,90,90,90,90,0,0,240,0,,,,,,,,,2
1368-6,34,6,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,90,20,20,90,0,0,248,0,,,,,,,,,2
1368-7,34,7,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,241,0,,,,,,,,,2
1368-8,34,8,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,0,0,221,0,,,,,,,,,2
1368-9,34,9,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,249,0,,,,,,,,,2
1368-10,34,10,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,231,0,,,,,,,,,2
1368-11,34,11,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,234,0,,,,,,,,,2
1368-12,34,12,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,238,0,,,,,,,,,2
1368-13,34,13,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,216,0,,,,,,,,,2
1368-14,34,14,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,255,0,,,,,,,,,2
1368-15,34,15,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,252,0,,,,,,,,,2
1368-16,34,16,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,245,0,,,,,,,,,2
1368-17,34,17,,1,0,1,1,1,1,1,1,0,0,0,,2,0,0,0,0,0,0,,2,2,,2,0,0,0,0,0,0,,2,0,0,0,0,0,0,,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,0,,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,2,0,0,0,0,0,,0,0,0,0,0,0,0,,6,0,,0,2,,20,20,20,90,90,0,243,0,,,,,,,,,2
